AZ781,17.16,5,,,AZ041,6,,,,AZ034,3.30?,,
AZ843,24.83,14,,,AZ041,6,,,,AZ235,13.20?,,
AZ787,30.1,12,,,AZ529,7.2,,,,AZ641,2.10?,,
AZ569,3.96,,,,AZ529,7.2,,,,AZ641,2.10?,,
AZ1152,3.96,,,,AZ1143,0.94,,,,AZ641,2.10?,,
AZ030,19.36,,,,AZ1143,0.94,,,,AZ889,12.49?,,
AZ663,2.9,,,,AZ1019,22.8,,,,AZ419,10.60?,,
AZ613,5.28,,,,AZ1048,3.35,,,,AZ432,6?,,
AZ613,5.28,,,,AZ113,5.82,,,,AZ394,8.60?,,
AZ613,5.28,,,,AZ1023,0.84,,,,AZ641,2.10?,,
AZ213,3.3,,,,AZ676,4.32,,,,AZ616,2?,,
AZ449,9.77,,,,AZ676,4.32,,,,AZ616,2?,,
AZ1057,4.59,,,,AZ661,3.72,,,,AZ898,8.05?,,
AZ1146,1.97,,,,AZ640,4.62,,,,AZ113,4.60?,,
AZ641,4.62,,,,AZ1053,14.08,,,,AZ030,13.35?,,
AZ641,4.62,,,,AZ607,3.18,,,,AZ030,13.35?,,
AZ641,4.62,,,,AZ646,4.2,,,,AZ030,13.35?,,
AZ1070,1.85,,,,AZ1070,1.68,,,,AZ641,2.10?,,
AZ451,9.77,,,,AZ644,4.2,,,,AZ116,4.60?,,
AZ165,9.5,,,,AZ463,8.88,,,,AZ030,13.35?,,
AZ623,11.17,,,,AZ824,4.8,,,,AZ213,2.66?,,
AZ507,2.77,,,,AZ824,4.8,,,,AZ213,2.66?,,
AZ330,14.37,,,,AZ319,2.69,,,,AZ170,7?,,
AZ535,9.27,,,,AZ318,8.71,,,,AZ388,2.60?,,
AZ178,5.28,,,,AZ1007,9,,,,AZ051,5.33?,,
AZ581,5.15,,,,AZ796,18.82,,,,AZ129,2.60?,,
AZ931,2.76,,,,AZ035,1.2,,,,AZ043,6.66?,,
AZ928,2.76,,,,AZ035,1.2,,,,AZ090,5.30?,,
AZ765,6.51,,,,AZ035,1.2,,,,AZ328,6.60?,,
AZ763,6.51,,,,AZ562,10.56,,,,AZ900,1.66?,,
AZ769,6.51,,,,AZ178,4.8,,,,AZ394,8.60?,,
AZ764,6.51,,,,AZ596,2.88,,,,AZ451,6.70?,,
AZ1007,9.9,,,,AZ731,2.52,,,,AZ411,8?,,
AZ197,24.95,,,,AZ965,9,,,,AZ529,6?,,
AZ1048,3.68,,,,AZ965,9,,,,AZ484,5.30?,,
AZ148,5.15,,,,AZ965,9,,,,AZ529,6?,,
AZ787,30.1,,,,AZ890,4.2,,,,AZ345,5?,,
AZ337,7.39,,,,AZ1077,3.9,,,,AZ346,5?,,
AZ592,12.28,,,,AZ818,7.2,,,,AZ346,5?,,
AZ592,12.28,,,,AZ641,4.2,,,,AZ345,5?,,
AZ976,4.86,,,,AZ642,4.2,,,,AZ346,5?,,
AZ603,2.38,,,,AZ643,4.2,,,,AZ346,5?,,
AZ148,5.15,,,,AZ644,4.2,,,,AZ628,4?,,
AZ336,7.39,,,,AZ645,4.2,,,,AZ631,1.97?,,
AZ116,6.27,,,,AZ646,4.2,,,,AZ629,2.60?,,
AZ633,4.54,,,,AZ781,15.6,,,,AZ524,10?,,
AZ1133,2.77,,,,AZ115,20.26,,,,AZ490,4.60?,,
AZ717,3.7,,,,AZ619,0.48,,,,AZ097,5.30?,,
AZ051,6.53,,,,AZ535,8.4,,,,AZ398,4.60?,,
AZ1001,9.24,,,,AZ418,10.8,,,,AZ222,20?,,
AZ637,2.38,,,,AZ418,10.8,,,,AZ889,12.49?,,
AZ639,3.33,,,,AZ648,0.9,,,,AZ419,10.60?,,
AZ521,6.6,,,,AZ321,28.56,,,,AZ419,10.60?,,
AZ948,35.64,,,,AZ641,4.2,,,,AZ614,2.60?,,
AZ680,8.71,,,,AZ944,12.96,,,,AZ614,2.60?,,
AZ070,3.24,,,,AZ1058,4.18,,,,AZ261,2.60?,,
AZ1003,9.24,,,,AZ1057,4.18,,,,AZ632,3.88?,,
AZ1002,9.24,,,,AZ346,4.93,,,,AZ636,1.84?,,
AZ927,3.47,,,,AZ345,4.93,,,,AZ151,5.30?,,
AZ928,2.76,,,,AZ1043,13.67,,,,AZ391,4?,,
AZ926,1.72,,,,AZ562,10.56,,,,AZ567,2.30?,,
AZ344,3.24,,,,AZ365,4.8,,,,AZ578,8.60?,,
AZ436,4.54,,,,AZ365,4.8,,,,AZ578,8.60?,,
AZ640,5.08,,,,AZ617,1.66,,,,AZ058,4?,,
AZ562,11.62,,,,AZ495,5.46,,,,AZ058,4?,,
AZ393,3.96,,,,AZ148,4.68,,,,AZ171,3.30?,,
AZ102,1.68,,,,AZ447,20.52,,,,AZ171,3.30?,,
AZ637,2.38,,,,AZ436,4.13,,,,AZ171,3.30?,,
AZ377,2.43,,,,AZ342,7.08,,,,AZ171,3.30?,,
AZ800,5.5,,,,AZ992,41.4,,,,AZ171,3.30?,,
AZ139,8.51,,,,AZ931,2.51,,,,AZ171,3.30?,,
AZ449,9.77,,,,AZ121,1.79,,,,AZ020,2.66?,,
AZ121,1.97,,,,AZ070,2.95,,,,AZ020,2.66?,,
AZ545,2.43,,,,AZ391,2.43,,,,AZ568,5.20?,,
AZ545,2.43,,,,AZ407,10.8,,,,AZ161,30?,,
AZ035,1.32,,,,AZ780,12,,,,AZ030,13.35?,,
AZ036,1.32,,,,az182,8.4,,,,AZ332,6.60?,,
AZ037,1.32,,,,AZ416,4.8,,,,AZ633,5?,,
AZ038,1.32,,,,AZ416,4.8,,,,AZ633,5?,,
AZ039,1.32,,,,AZ416,4.8,,,,AZ164,3.66?,,
AZ040,1.32,,,,,560.19,,,,AZ152,6.60?,,
AZ041,1.32,,,,,,,,,AZ304,9.90?,,
AZ042,1.32,,,,,,,,,AZ561,8.60?,,
AZ043,1.32,,,,,,,,,AZ624,5.33?,,
AZ044,1.32,,,,,,,,,AZ624,5.33?,,
AZ840,3.96,,,,,,,,,AZ908,8.30?,,
AZ075,3.91,,,,,,,,,AZ164,3.66?,,
AZ075,3.91,,,,,,,,,AZ419,10.60?,,
AZ075,3.91,,,,,,,,,AZ301,4.60?,,
AZ680,8.71,,,,,,,,,AZ472,11.30?,,
AZ195,10.35,,,,,,,,,AZ072,2?,,
AZ788,14.67,,,,,,,,,AZ072,2?,,
AZ198,16.62,,,,,,,,,AZ072,2?,,
AZ200,3.66,,,,,,,,,AZ072,2?,,
AZ521,6.6,,,,,,,,,AZ072,2?,,
AZ944,14.26,,,,,,,,,AZ631,1.97?,,
AZ1116,16.45,,,,,,,,,AZ636,1.84?,,
AZ146,9.74,,,,,,,,,AZ484,5.30?,,
AZ089,2.84,,,,,,,,,AZ030,13.35?,,
AZ089,2.84,,,,,,,,,AZ900,1.66?,,
AZ318,9.58,,,,,,,,,AZ900,1.66?,,
AZ079,7.92,,,,,,,,,AZ900,1.66?,,
AZ1031,9.29,,,,,,,,,AZ900,1.66?,,
AZ1031,9.29,,,,,,,,,AZ893,3.33?,,
AZ681,1,,,,,,,,,AZ479,8?,,
AZ674,6.61,,,,,,,,,AZ200,3.30?,,
AZ680,8.71,,,,,,,,,AZ046,4.70?,,
AZ319,2.96,,,,,,,,,AZ620,16.65?,,
AZ319,2.96,,,,,,,,,AZ164,3.66?,,
AZ1032,18.51,,,,,,,,,AZ076,3?,,
AZ660,11.81,,,,,,,,,AZ133,13.30?,,
AZ030,19.36,,,,,,,,,AZ030,13.35?,,
AZ041,6.6,,,,,,,,,AZ533,3.30?,,
AZ987,2.09,,,,,,,,,AZ903,1.33?,,
AZ987,2.09,,,,,,,,,AZ900,1.66?,,
AZ850,16.63,,,,,,,,,AZ900,1.66?,,
AZ220,1.95,,,,,,,,,AZ898,8.05?,,
AZ384,1.65,,,,,,,,,AZ353,10?,,
AZ034,3.77,,,,,,,,,AZ321,20?,,
AZ034,3.77,,,,,,,,,AZ167,3.90?,,
AZ635,5.15,,,,,,,,,,716.53?,,
AZ635,5.15,,,,,,,,,,,,
AZ742,5.65,,,,,,,,,,,,
AZ510,5.28,,,,,,,,,,,,
AZ419,15.52,,,,,,,,,,,,
AZ1023,0.92,,,,,,,,,,,,
AZ707,2.13,,,,,,,,,,,,
AZ841,4.49,,,,,,,,,,,,
AZ355,2.82,,,,,,,,,,,,
AZ377,2.43,,,,,,,,,,,,
AZ076,2.67,,,,,,,,,,,,
AZ800,5.5,,,,,,,,,,,,
AZ1032,18.51,,,,,,,,,,,,
AZ1076,15.54,,,,,,,,,,,,
AZ426,16.1,,,,,,,,,,,,
AZ057,6.53,,,,,,,,,,,,
AZ627,1.65,,,,,,,,,,,,
AZ1031,9.29,,,,,,,,,,,,
AZ086,3.51,,,,,,,,,,,,
AZ604,8.32,,,,,,,,,,,,
AZ944,14.26,,,,,,,,,,,,
AZ604,8.32,,,,,,,,,,,,
AZ043,9.36,,,,,,,,,,,,
AZ085,4.59,,,,,,,,,,,,
AZ477,21.78,,,,,,,,,,,,
AZ484,7.43,,,,,,,,,,,,
AZ714,4.75,,,,,,,,,,,,
AZ263,0.87,,,,,,,,,,,,
AZ263,0.87,,,,,,,,,,,,
AZ567,1.65,,,,,,,,,,,,
AZ574,3.96,,,,,,,,,,,,
AZ282,0.99,,,,,,,,,,,,
AZ282,0.99,,,,,,,,,,,,
AZ282,0.99,,,,,,,,,,,,
AZ282,0.99,,,,,,,,,,,,
AZ282,0.99,,,,,,,,,,,,
AZ282,0.99,,,,,,,,,,,,
AZ282,0.99,,,,,,,,,,,,
AZ375,3.96,,,,,,,,,,,,
AZ780,13.2,,,,,,,,,,,,
AZ1076,15.54,,,,,,,,,,,,
AZ014,18.94,,,,,,,,,,,,
AZ684,3.88,,,,,,,,,,,,
AZ1031,9.29,,,,,,,,,,,,
AZ201,7.92,,,,,,,,,,,,
AZ465,21.12,,,,,,,,,,,,
AZ992,45.54,,,,,,,,,,,,
AZ479,13.2,,,,,,,,,,,,
AZ514,15.84,,,,,,,,,,,,
AZ1058,4.59,,,,,,,,,,,,
AZ1057,4.59,,,,,,,,,,,,
AZ737,5.28,,,,,,,,,,,,
AZ502,3.6,,,,,,,,,,,,
AZ898,10.89,,,,,,,,,,,,
AZ157,4.7,,,,,,,,,,,,
AZ157,4.7,,,,,,,,,,,,
AZ567,1.65,,,,,,,,,,,,
AZ567,1.65,,,,,,,,,,,,
AZ567,1.65,,,,,,,,,,,,
AZ567,1.65,,,,,,,,,,,,
AZ567,1.65,,,,,,,,,,,,
AZ567,1.65,,,,,,,,,,,,
AZ567,1.65,,,,,,,,,,,,
AZ567,1.65,,,,,,,,,,,,
AZ567,1.65,,,,,,,,,,,,
AZ567,1.65,,,,,,,,,,,,
AZ260,10.16,,,,,,,,,,,,
AZ737,5.28,,,,,,,,,,,,
AZ102,1.68,,,,,,,,,,,,
AZ259,0.99,,,,,,,,,,,,
AZ259,0.99,,,,,,,,,,,,
AZ259,0.99,,,,,,,,,,,,
AZ259,0.99,,,,,,,,,,,,
AZ259,0.99,,,,,,,,,,,,
AZ259,0.99,,,,,,,,,,,,
AZ259,0.99,,,,,,,,,,,,
AZ215,5.15,,,,,,,,,,,,
AZ483,7.92,,,,,,,,,,,,
AZ680,8.71,,,,,,,,,,,,
AZ624,5.57,,,,,,,,,,,,
AZ144,3.77,,,,,,,,,,,,
AZ136,23.76,,,,,,,,,,,,
,1369.04,,,,,,,,,,,,
